"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.64864865","0.0057062","0.60655738","0.51213665","142","142","3","false","abgB_b1337_15","108.02112676","142","0","0","0.87027027","false","0","abgB_b1337_15","38856","0.30173499"
"1.52162162","0.01043438","0.65719361","0.45089012","181","181","3","false","abgA_b1338_14","103.16022099","181","0","0","0.89567568","false","0","abgA_b1338_14","65964","0.28185853"
"1.63783784","0.00601258","0.61056106","0.50815851","144","144","3","false","abgR_b1339_15","108.03472222","144","0","0","0.87243243","false","0","abgR_b1339_15","42654","0.30009645"
"1.70810811","0.00383462","0.58544304","0.54641873","121","121","3","false","abgT_b1336_15","110.84297521","121","0","0","0.85837838","false","0","abgT_b1336_15","27962","0.31048452"
"1.54347826","0.00985859","0.64788732","0.48034582","223","223","3","false","accB_b3255_15","131.95515695","223","0","0","0.89130435","false","0","accB_b3255_15","140512","0.29520169"
"1.8326087","0.00476062","0.54567023","0.58884298","121","121","4","false","accA_b0185_15","138.52892562","121","0","0","0.83347826","false","0","accA_b0185_15","56172","0.33220366"
"1.91956522","5.0517E-4","0.5209513","0.73135965","96","96","3","false","accC_b3256_15","147.73958333","96","0","0","0.81608696","false","0","accC_b3256_15","9712","0.36842789"
"1.0","0.0","1.0","1.0","2","2","1","false","aceB_b4014_15","2.0","2","0","0","1.0","false","0","aceB_b4014_15","0","1.0"
"1.0","0.0","1.0","1.0","2","2","1","false","aceA_b4015_15","2.0","2","0","0","1.0","false","0","aceA_b4015_15","0","1.0"
"1.25","0.0","0.8","1.0","3","3","2","false","aceF_b0115_15","3.33333333","3","0","0","0.875","false","0","aceF_b0115_15","0","0.83333333"
"1.25","0.0","0.8","1.0","3","3","2","false","aceE_b0114_15","3.33333333","3","0","0","0.875","false","0","aceE_b0114_15","0","0.83333333"
"1.0","0.0","1.0","1.0","2","2","1","false","aceK_b4016_15","2.0","2","0","0","1.0","false","0","aceK_b4016_15","0","1.0"
"1.89130435","0.00314446","0.52873563","0.57482125","89","89","3","false","acrA_b0463_14","132.30337079","89","0","0","0.82173913","false","0","acrA_b0463_14","41326","0.31425979"
"2.55217391","0.00103659","0.39182283","0.47619048","7","7","4","false","acrB_b0462_14","58.0","7","0","0","0.68956522","false","0","acrB_b0462_14","16044","0.27102804"
"1.33333333","0.0","0.75","1.0","2","2","2","false","actP_b4067_14","2.5","2","0","0","0.83333333","false","0","actP_b4067_14","0","0.83333333"
"1.0","0.66666667","1.0","0.33333333","3","3","1","false","acs_b4069_14","1.66666667","3","0","0","1.0","false","0","acs_b4069_14","4","0.66666667"
"1.8","0.0047531","0.55555556","0.60093897","72","72","3","false","adhP_b1478_15","70.09722222","72","0","0","0.84","false","0","adhP_b1478_15","9760","0.3650897"
"1.92727273","0.00411302","0.51886792","0.61554733","62","62","4","false","acnA_b1276_15","66.70967742","62","0","0","0.81454545","false","0","acnA_b1276_15","16570","0.38119816"
"1.0","1.0","1.0","0.0","2","2","1","false","adiC_b4115_15","1.0","2","0","0","1.0","false","0","adiC_b4115_15","2","0.0"
"1.5","0.0","0.66666667","0.0","1","1","2","false","adiA_b4117_14","2.0","1","0","0","0.75","false","0","adiA_b4117_14","0","0.0"
"1.5","0.0","0.66666667","0.0","1","1","2","false","adiY_b4116_14","2.0","1","0","0","0.75","false","0","adiY_b4116_14","0","0.0"
"1.93043478","6.6993E-4","0.51801802","0.70102893","102","102","4","false","adk_b0474_15","136.97058824","102","0","0","0.81391304","false","0","adk_b0474_15","10360","0.34941477"
"1.55555556","0.03703704","0.64285714","0.66666667","4","4","2","false","afuC_b0262_15","5.25","4","0","0","0.81481481","false","0","afuC_b0262_15","6","0.58333333"
"1.88888889","0.0","0.52941176","1.0","2","2","3","false","afuB_b0263_15","6.0","2","0","0","0.7037037","false","0","afuB_b0263_15","0","0.75"
"1.75","0.0442669","0.57142857","0.46153846","13","13","3","false","agaD_b3140_15","13.46153846","13","0","0","0.8125","false","0","agaD_b3140_15","392","0.36382536"
"2.125","0.01060511","0.47058824","0.5","8","8","3","false","agaB_b3138_15","12.75","8","0","0","0.71875","false","0","agaB_b3138_15","124","0.47222222"
"1.775","0.01531215","0.56338028","0.56363636","11","11","3","false","agaC_b3139_14","16.18181818","11","0","0","0.80625","false","0","agaC_b3139_14","174","0.42583732"
"1.425","0.08095208","0.70175439","0.41897233","23","23","2","false","agaI_b3141_15","12.95652174","23","0","0","0.89375","false","0","agaI_b3141_15","690","0.32391304"
"1.0","0.0","1.0","0.0","1","1","1","false","agaV_b3133_15","1.0","1","0","0","1.0","false","0","agaV_b3133_15","0","0.0"
"1.0","0.0","1.0","0.0","1","1","1","false","agaA_b3135_16","1.0","1","0","0","1.0","false","0","agaA_b3135_16","0","0.0"
