Column 3,EdgeBetweenness,interaction,name,selected,shared interaction,shared name,status
0.9100773,2.88888889,interacts with,C134_0008_a_at (interacts with) C134_0007_a_at,FALSE,interacts with,C134_0008_a_at (interacts with) C134_0007_a_at,up
0.7552538,15.91351774,interacts with,C134_0021_a_at (interacts with) C134_0004_a_at,FALSE,interacts with,C134_0021_a_at (interacts with) C134_0004_a_at,up
0.787249,36.56512321,interacts with,C134_0021_a_at (interacts with) C134_0020_a_at,FALSE,interacts with,C134_0021_a_at (interacts with) C134_0020_a_at,up
0.7368403,13.56374962,interacts with,C134_0022_a_at (interacts with) C134_0004_a_at,FALSE,interacts with,C134_0022_a_at (interacts with) C134_0004_a_at,up
0.7747114,32.7700717,interacts with,C134_0022_a_at (interacts with) C134_0020_a_at,FALSE,interacts with,C134_0022_a_at (interacts with) C134_0020_a_at,up
0.926997,5.34592662,interacts with,C134_0022_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0022_a_at (interacts with) C134_0021_a_at,up
0.753657,20.26975861,interacts with,C134_0023_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0023_a_at (interacts with) C134_0015_a_at,up
0.7785754,20.4942967,interacts with,C134_0024_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0024_a_at (interacts with) C134_0015_a_at,up
0.8110762,10.93566362,interacts with,C134_0024_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0024_a_at (interacts with) C134_0023_a_at,up
0.7345384,24.92220595,interacts with,C134_0025_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0025_a_at (interacts with) C134_0023_a_at,up
0.8071688,11.01297538,interacts with,C134_0025_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0025_a_at (interacts with) C134_0024_a_at,up
0.7895381,7.98476663,interacts with,C134_0028_a_at (interacts with) C134_0004_a_at,FALSE,interacts with,C134_0028_a_at (interacts with) C134_0004_a_at,up
0.8438528,9.57687658,interacts with,C134_0028_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0028_a_at (interacts with) C134_0021_a_at,up
0.8418805,8.08715487,interacts with,C134_0028_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0028_a_at (interacts with) C134_0022_a_at,up
0.830964,14.86230126,interacts with,C134_0029_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0029_a_at (interacts with) C134_0015_a_at,up
0.8010523,10.83802194,interacts with,C134_0029_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0029_a_at (interacts with) C134_0023_a_at,up
0.8181683,13.42159808,interacts with,C134_0029_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0029_a_at (interacts with) C134_0024_a_at,up
0.7142006,2,interacts with,C134_0033_at (interacts with) C134_0032_a_at,FALSE,interacts with,C134_0033_at (interacts with) C134_0032_a_at,up
0.7617278,12.02568016,interacts with,C134_0038_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0038_a_at (interacts with) C134_0021_a_at,up
0.7416886,10.0034932,interacts with,C134_0038_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0038_a_at (interacts with) C134_0022_a_at,up
0.8859209,6.7655119,interacts with,C134_0054_a_at (interacts with) C134_0051_a_at,FALSE,interacts with,C134_0054_a_at (interacts with) C134_0051_a_at,up
0.7085559,24.38247219,interacts with,C134_0056_at (interacts with) C134_0010_a_at,FALSE,interacts with,C134_0056_at (interacts with) C134_0010_a_at,up
0.7278823,17.60598743,interacts with,C134_0056_at (interacts with) C134_0051_a_at,FALSE,interacts with,C134_0056_at (interacts with) C134_0051_a_at,up
0.7637088,10.69102764,interacts with,C134_0056_at (interacts with) C134_0054_a_at,FALSE,interacts with,C134_0056_at (interacts with) C134_0054_a_at,up
0.8637626,4,interacts with,C134_0060_a_at (interacts with) C134_0059_a_at,FALSE,interacts with,C134_0060_a_at (interacts with) C134_0059_a_at,up
0.7590058,4,interacts with,C134_0061_a_at (interacts with) C134_0059_a_at,FALSE,interacts with,C134_0061_a_at (interacts with) C134_0059_a_at,up
0.8123695,2,interacts with,C134_0061_a_at (interacts with) C134_0060_a_at,FALSE,interacts with,C134_0061_a_at (interacts with) C134_0060_a_at,up
0.7578468,10.86575117,interacts with,C134_0062_a_at (interacts with) C134_0004_a_at,FALSE,interacts with,C134_0062_a_at (interacts with) C134_0004_a_at,up
0.7065781,10.59896566,interacts with,C134_0062_a_at (interacts with) C134_0012_a_at,FALSE,interacts with,C134_0062_a_at (interacts with) C134_0012_a_at,down
0.7209668,24.79027946,interacts with,C134_0062_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0062_a_at (interacts with) C134_0021_a_at,up
