"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","cluster","ClusteringCoefficient","Degree","degree.layout","EC","Eccentricity","gene_id","gene_product_name","IsSingleNode","locus_tag","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.76923077","0.01139601","0.56521739","11","0.8","5","5","EC:3.4.-","3","637670871","ribonucleotide reductase alpha subunit","false","SAR11_0008","C134_0008_a_at","6.8","5","0","0","0.74358974","false","0","C134_0008_a_at","8","0.61818182"
"1.92307692","0.0","0.52","11","1.0","4","4","EC:3.4.-","3","637670870","probable integral membrane proteinase","false","SAR11_0007","C134_0007_a_at","6.75","4","0","0","0.69230769","false","0","C134_0007_a_at","0","0.675"
"1.39873418","0.03467152","0.71493213","1","0.41321271","98","98","EC:6.3.2.4","3","637670884","D-alanine--D-alanine ligase B","false","SAR11_0021","C134_0021_a_at","46.91836735","98","0","0","0.90031646","false","0","C134_0021_a_at","13940","0.30269914"
"1.70253165","0.01009182","0.58736059","1","0.56114605","54","54","EC:2.5.1.75","3","637670867","tRNA isopentenyltransferase","false","SAR11_0004","C134_0004_a_at","53.83333333","54","0","0","0.82436709","false","0","C134_0004_a_at","4262","0.35651214"
"2.12025316","2.845E-5","0.47164179","1","0.92424242","12","12","","4","637670883","cell division protein FtsQ","false","SAR11_0020","C134_0020_a_at","73.5","12","0","0","0.71993671","false","0","C134_0020_a_at","16","0.56976744"
"1.44303797","0.02266868","0.69298246","1","0.46317104","90","90","EC:1.1.1.158","3","637670885","UDP-N-acetylenolpyruvoylglucosamine reductase","false","SAR11_0022","C134_0022_a_at","49.85555556","90","0","0","0.88924051","false","0","C134_0022_a_at","10926","0.31958689"
"1.65116279","0.01957149","0.6056338","0","0.46693878","50","50","EC:6.3.2.8","3","637670886","UDP-N-acetylmuramate--L-alanine ligase","false","SAR11_0023","C134_0023_a_at","37.54","50","0","0","0.8372093","false","0","C134_0023_a_at","4478","0.30274194"
"1.44186047","0.05019792","0.69354839","0","0.36","75","75","EC:3.4.11.9","3","637670878","Xaa-Pro aminopeptidase","false","SAR11_0015","C134_0015_a_at","34.6","75","0","0","0.88953488","false","0","C134_0015_a_at","9414","0.27460317"
"1.80620155","0.00716414","0.55364807","0","0.56628788","33","33","EC:2.4.1.227","3","637670887","UDP-N-acetylglucosamine","false","SAR11_0024","C134_0024_a_at","42.0","33","0","0","0.79844961","false","0","C134_0024_a_at","2088","0.34710744"
"2.09302326","0.00117872","0.47777778","4","0.66666667","18","18","","4","637670888","cell division protein FtsW","false","SAR11_0025","C134_0025_a_at","36.33333333","18","0","0","0.72674419","false","0","C134_0025_a_at","288","0.35973597"
"1.55696203","0.01618575","0.64227642","1","0.50522523","75","75","EC:6.3.2.10","3","637670891","UDP-N-acetylmuramoylalanyl-D-glutamate","false","SAR11_0028","C134_0028_a_at","52.08","75","0","0","0.86075949","false","0","C134_0028_a_at","7036","0.34039216"
"1.5503876","0.02670373","0.645","0","0.45762712","59","59","EC:2.4.1.129","3","637670892","cell division protein FtsI","false","SAR11_0029","C134_0029_a_at","39.10169492","59","0","0","0.8624031","false","0","C134_0029_a_at","5984","0.30548199"
"1.0","0.0","1.0","2","0.0","1","1","","1","637670896","hypothetical protein","false","SAR11_0033","C134_0033_at","1.0","1","0","0","1.0","false","0","C134_0033_at","0","0.0"
"1.0","0.0","1.0","2","0.0","1","1","","1","637670895","cell division protein FtsZ","false","SAR11_0032","C134_0032_a_at","1.0","1","0","0","1.0","false","0","C134_0032_a_at","0","0.0"
"1.82911392","5.0185E-4","0.5467128","1","0.84033613","35","35","EC:2.7.7.-","3","637670903","DNA primase","false","SAR11_0038","C134_0038_a_at","69.71428571","35","0","0","0.79272152","false","0","C134_0038_a_at","356","0.4647619"
"1.69822485","0.00714152","0.58885017","2","0.59180328","61","61","","3","637670919","Pilin (bacterial filament)","false","SAR11_0054","C134_0054_a_at","53.1147541","61","0","0","0.82544379","false","0","C134_0054_a_at","6664","0.33405506"
"1.89940828","0.00557756","0.52647975","2","0.68205128","40","40","","3","637670916","probable heavy metal transport/detoxification protein","false","SAR11_0051","C134_0051_a_at","53.5","40","0","0","0.77514793","false","0","C134_0051_a_at","4490","0.36643836"
"1.71005917","0.01155344","0.58477509","2","0.5295082","61","61","","3","637670921","Sulfate transporter/antisigma-factor antagonist STAS","false","SAR11_0056","C134_0056_at","52.21311475","61","0","0","0.82248521","false","0","C134_0056_at","7470","0.33256761"
"2.13017751","0.00210359","0.46944444","32","0.70562771","22","22","EC:2.1.1.148","4","637670873","thymidylate synthase","false","SAR11_0010","C134_0010_a_at","46.59090909","22","0","0","0.71745562","false","0","C134_0010_a_at","1238","0.36399148"
"1.33333333","0.0","0.75","34","1.0","2","2","","2","637670925","Type II Secretion PilQ","false","SAR11_0060","C134_0060_a_at","2.5","2","0","0","0.83333333","false","0","C134_0060_a_at","0","0.83333333"
"1.0","0.66666667","1.0","34","0.33333333","3","3","","1","637670924","Type II Secretion System PilB","false","SAR11_0059","C134_0059_a_at","1.66666667","3","0","0","1.0","false","0","C134_0059_a_at","4","0.66666667"
"1.33333333","0.0","0.75","34","1.0","2","2","","2","637670926","type 4 fimbrial biogenesis protein PilP","false","SAR11_0061","C134_0061_a_at","2.5","2","0","0","0.83333333","false","0","C134_0061_a_at","0","0.83333333"
"1.78481013","0.0034055","0.56028369","1","0.66998893","43","43","","3","637670927","type 4 fimbrial biogenesis protein PilO","false","SAR11_0062","C134_0062_a_at","54.6744186","43","0","0","0.80379747","false","0","C134_0062_a_at","2086","0.36694241"
"1.97468354","0.00250343","0.50641026","7","0.67333333","25","25","EC:4.2.1.2","3","637670875","Fumarate hydratase class II (Fumarase C)","false","SAR11_0012","C134_0012_a_at","55.36","25","0","0","0.75632911","false","0","C134_0012_a_at","972","0.40408759"
"1.86075949","0.0015601","0.53741497","1","0.6631016","34","34","","3","637670932","Type II Secretion PilY1","false","SAR11_0068","C134_0068_a_at","56.67647059","34","0","0","0.78481013","false","0","C134_0068_a_at","808","0.388195"
"1.92248062","0.01678185","0.52016129","0","0.65217391","23","23","","3","637670938","Type II Secretion PilT","false","SAR11_0074","C134_0074_a_at","42.7826087","23","0","0","0.76937984","false","0","C134_0074_a_at","2552","0.37164461"
"1.74683544","0.00757909","0.57246377","1","0.6122449","50","50","","3","637670946","probable short-chain dehydrogenase","false","SAR11_0082","C134_0082_a_at","55.14","50","0","0","0.81329114","false","0","C134_0082_a_at","3248","0.37256757"
"1.68987342","0.00318082","0.5917603","1","0.69601677","54","54","","3","637670951","transcriptional regulator","false","SAR11_0087","C134_0087_a_at","61.2037037","54","0","0","0.82753165","false","0","C134_0087_a_at","1904","0.40002421"
"1.98734177","2.6348E-4","0.50318471","1","0.81904762","21","21","","3","637670952","two-component system","false","SAR11_0088","C134_0088_a_at","65.28571429","21","0","0","0.75316456","false","0","C134_0088_a_at","136","0.4696814"
"1.37974684","0.03965469","0.72477064","1","0.40707071","100","100","EC:2.1.1.79","3","637670956","possible cyclopropane-fatty-acyl-phospholipid synthase","false","SAR11_0092","C134_0092_a_at","46.59","100","0","0","0.90506329","false","0","C134_0092_a_at","15238","0.29865385"
"2.20253165","1.6795E-4","0.45402299","0","0.74545455","11","11","","4","637670893","cell division protein FtsL","false","SAR11_0030","C134_0030_a_at","43.09090909","11","0","0","0.69936709","false","0","C134_0030_a_at","62","0.36829837"
"1.58914729","0.02797605","0.62926829","0","0.44235589","57","57","","3","637670957","Uncharacterized ACR","false","SAR11_0093","C134_0093_a_at","37.71929825","57","0","0","0.85271318","false","0","C134_0093_a_at","6830","0.30175439"
"2.09467456","5.2354E-4","0.47740113","2","0.75324675","22","22","EC:2.7.6.1","3","637670958","Ribose-phosphate pyrophosphokinase","false","SAR11_0094","C134_0094_a_at","53.90909091","22","0","0","0.72633136","false","0","C134_0094_a_at","362","0.41151978"
"1.88757396","0.00171592","0.52978056","2","0.6968254","36","36","","3","637670959","ribosomal 5S rRNA E-loop binding protein Ctc/L25/TL5","false","SAR11_0095","C134_0095_a_at","55.44444444","36","0","0","0.77810651","false","0","C134_0095_a_at","1398","0.36476608"
"2.03100775","6.093E-4","0.49236641","0","0.68571429","15","15","","3","637670961","Predicted GTPase","false","SAR11_0097","C134_0097_a_at","40.8","15","0","0","0.74224806","false","0","C134_0097_a_at","178","0.37090909"
"1.45736434","0.0402184","0.68617021","0","0.40068493","73","73","","3","637670962","ubiquinol-cytochrome-c reductase","false","SAR11_0098","C134_0098_a_at","36.60273973","73","0","0","0.88565891","false","0","C134_0098_a_at","9096","0.29049793"
"1.75193798","0.01055889","0.57079646","0","0.51821862","39","39","","3","637670963","ubiquinol-cytochrome-c reductase","false","SAR11_0099","C134_0099_a_at","38.97435897","39","0","0","0.8120155","false","0","C134_0099_a_at","3180","0.31946196"
"2.16568047","8.0223E-4","0.46174863","3","0.63235294","17","17","EC:1.10.2.2","4","637670964","cytochrome b6-f complex iron-sulfur subunit","false","SAR11_0100","C134_0100_a_at","42.41176471","17","0","0","0.70857988","false","0","C134_0100_a_at","594","0.3339509"
"2.43195266","5.0577E-4","0.41119221","3","0.65384615","13","13","EC:3.5.1.108","4","637670881","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase)","false","SAR11_0018","C134_0018_a_at","32.07692308","13","0","0","0.64201183","false","0","C134_0018_a_at","254","0.35249366"
"1.89873418","1.397E-4","0.52666667","1","0.90598291","27","27","EC:2.1.1.207","3","637670965","rRNA Methylase","false","SAR11_0101","C134_0101_a_at","70.81481481","27","0","0","0.77531646","false","0","C134_0101_a_at","140","0.48173343"
"2.03550296","4.6513E-4","0.49127907","2","0.83333333","25","25","EC:1.3.3.3","3","637670966","Coproporphyrinogen III oxidase","false","SAR11_0102","C134_0102_at","58.48","25","0","0","0.74112426","false","0","C134_0102_at","480","0.42376812"
"2.00775194","1.8032E-4","0.4980695","0","0.82051282","13","13","EC:2.7.7.7","3","637670972","probable DNA-directed DNA polymerase","false","SAR11_0107","C134_0107_a_at","52.84615385","13","0","0","0.74806202","false","0","C134_0107_a_at","64","0.45953177"
"1.67088608","0.01185881","0.59848485","1","0.59220779","56","56","EC:3.2.2.-","3","637670976","A/G-specific adenine glycosylase","false","SAR11_0111","C134_0111_a_at","55.05357143","56","0","0","0.83227848","false","0","C134_0111_a_at","5378","0.35749072"
"2.08227848","9.88E-6","0.48024316","1","0.91111111","10","10","","3","637670977","hypothetical protein","false","SAR11_0112","C134_0112_a_at","75.5","10","0","0","0.72943038","false","0","C134_0112_a_at","10","0.55925926"
"1.9112426","0.00144733","0.52321981","2","0.68181818","33","33","","3","637670978","DsbA-like protein","false","SAR11_0113","C134_0113_a_at","58.87878788","33","0","0","0.77218935","false","0","C134_0113_a_at","1012","0.38992575"
"2.00591716","0.00219853","0.49852507","3","0.65340909","33","33","EC:3.6.3.14","3","637670981","ATP synthase subunit A","false","SAR11_0116","C134_0116_a_at","45.42424242","33","0","0","0.74852071","false","0","C134_0116_a_at","1324","0.33647587"
"1.95348837","0.0029308","0.51190476","3","0.64761905","21","21","EC:3.6.3.14","3","637670982","ATP synthase subunit C","false","SAR11_0117","C134_0117_a_at","41.95238095","21","0","0","0.76162791","false","0","C134_0117_a_at","870","0.36800334"
"2.29457364","1.346E-5","0.43581081","0","0.9","5","5","EC:3.6.3.14","4","637670983","H+-transporting two-sector ATPase (subunit b')","false","SAR11_0118","C134_0118_a_at","44.0","5","0","0","0.67635659","false","0","C134_0118_a_at","2","0.5"
"1.80473373","0.00776564","0.55409836","2","0.60815603","48","48","EC:3.6.3.14","3","637670984","H+-transporting two-sector ATPase (subunit b)","false","SAR11_0119","C134_0119_a_at","52.85416667","48","0","0","0.79881657","false","0","C134_0119_a_at","5670","0.34320887"
"1.89922481","0.002069","0.52653061","0","0.59057971","24","24","EC:2.5.1.32","3","637670986","Phytoene synthase","false","SAR11_0121","C134_0121_a_at","41.79166667","24","0","0","0.7751938","false","0","C134_0121_a_at","496","0.35416667"
"1.95348837","9.3291E-4","0.51190476","0","0.80526316","20","20","EC:5.5.1.19","3","637670987","lycopene cyclase","false","SAR11_0122","C134_0122_a_at","48.2","20","0","0","0.76162791","false","0","C134_0122_a_at","216","0.41913043"
"1.73643411","0.00918751","0.57589286","4","0.53890825","42","42","","3","637670988","possible transmembrane protein","false","SAR11_0123","C134_0123_a_at","38.33333333","42","0","0","0.81589147","false","0","C134_0123_a_at","2330","0.31680441"
"1.17857143","0.13084215","0.84848485","6","0.45059289","23","23","EC:1.17.1.2","2","637670989","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","false","SAR11_0124","C134_0124_a_at","11.2173913","23","0","0","0.95535714","false","0","C134_0124_a_at","382","0.40062112"
"1.89285714","0.0","0.52830189","3","1.0","4","4","","3","637670872","probable ATPase","false","SAR11_0009","C134_0009_a_at","18.5","4","0","0","0.77678571","false","0","C134_0009_a_at","0","0.68518519"
"1.92857143","0.0","0.51851852","6","1.0","6","6","EC:1.3.99.26","3","637670985","phytoene dehydrogenase","false","SAR11_0120","C134_0120_a_at","18.5","6","0","0","0.76785714","false","0","C134_0120_a_at","0","0.77083333"
"2.19379845","6.41E-6","0.45583039","0","0.96428571","8","8","EC:2.7.1.39","3","637670990","homoserine kinase","false","SAR11_0125","C134_0125_a_at","52.0","8","0","0","0.70155039","false","0","C134_0125_a_at","4","0.54166667"
"1.34782609","0.02731273","0.74193548","3","0.67619048","15","15","EC:1.9.3.1","2","637670995","cytochrome-c oxidase","false","SAR11_0130","C134_0130_a_at","12.73333333","15","0","0","0.88405797","false","0","C134_0130_a_at","98","0.55362319"
"1.43478261","0.10357213","0.6969697","3","0.64102564","13","13","EC:1.1.1.86","2","637670864","ketol-acid reductoisomerase","false","SAR11_0001","C134_0001_a_at","12.69230769","13","0","0","0.85507246","false","0","C134_0001_a_at","198","0.57342657"
"1.68992248","0.02314736","0.59174312","0","0.43085106","48","48","EC:1.9.3.1","3","637670999","cytochrome-c oxidase","false","SAR11_0134","C134_0134_a_at","34.5","48","0","0","0.82751938","false","0","C134_0134_a_at","4922","0.28512397"
"1.97633136","0.00319249","0.50598802","3","0.62184874","35","35","EC:1.9.3.1","3","637671000","probable cytochrome c oxidase polypeptide II (Cytochrome aa3 subunit 2)","false","SAR11_0135","C134_0135_a_at","42.08571429","35","0","0","0.75591716","false","0","C134_0135_a_at","1920","0.30496894"
"1.5","0.0","0.66666667","19","1.0","2","2","","2","637671003","Transcriptional regulator","false","SAR11_0138","C134_0138_at","3.5","2","0","0","0.75","false","0","C134_0138_at","0","0.875"
"1.25","0.08333333","0.8","19","0.66666667","3","3","EC:1.11.1.15","2","637670992","peroxisomal membrane protein a (pmp20)","false","SAR11_0127","C134_0127_at","3.0","3","0","0","0.875","false","0","C134_0127_at","2","0.75"
"1.5","0.0","0.66666667","41","0.0","1","1","","2","637671005","DoxD-like family protein","false","SAR11_0140","C134_0140_a_at","2.0","1","0","0","0.75","false","0","C134_0140_a_at","0","0.0"
"1.0","1.0","1.0","41","0.0","2","2","","1","637671004","putative glutamate synthetas","false","SAR11_0139","C134_0139_a_at","1.0","2","0","0","1.0","false","0","C134_0139_a_at","2","0.0"
"2.00632911","4.5318E-4","0.49842271","1","0.725","16","16","","3","637671007","pirin","false","SAR11_0142","C134_0142_a_at","62.125","16","0","0","0.74841772","false","0","C134_0142_a_at","358","0.44060284"
"1.63565891","0.01367714","0.61137441","0","0.52081633","50","50","EC:1.6.5.5","3","637671008","Quinone oxidoreductase","false","SAR11_0143","C134_0143_a_at","41.54","50","0","0","0.84108527","false","0","C134_0143_a_at","3938","0.32968254"
"1.58823529","0.02866128","0.62962963","4","0.6091954","30","30","EC:2.5.1.-","3","637671010","4-hydroxybenzoate octaprenyltransferase","false","SAR11_0145","C134_0145_a_at","24.8","30","0","0","0.85294118","false","0","C134_0145_a_at","1298","0.37575758"
